"CustomerID";"HotelID"
11476;331
13287;331
143;333
826;333
1295;333
3547;333
3603;333
4322;333
4852;333
11476;333
13494;333
14288;333
139;344
1293;344
4331;346
13287;346
13291;346
1293;353
4331;353
13494;353
14288;353
3;448
657;448
1544;448
3;449
657;449
3;451
4;457
4;458
12123;459
6;460
6;462
5;463
5;464
3640;464
3732;464
12902;464
12962;464
5;467
6;468
5;469
4;470
7;471
617;471
1591;471
14;472
14;473
3891;473
40;474
40;475
3977;475
65;476
103;476
2108;476
65;477
6;478
6;479
78;479
76;480
76;481
64;482
2039;482
2075;482
12611;482
64;483
79;484
79;485
89;486
89;487
3481;487
13032;487
100;488
100;489
39;490
39;491
73;492
569;492
4065;492
73;493
90;494
90;495
44;496
44;497
1569;497
41;500
615;500
685;500
1590;500
3424;500
3472;500
7;502
617;502
32;503
2116;503
12627;503
13565;503
13706;503
2116;504
28;505
28;506
3810;506
62;507
137;508
1291;508
137;509
1291;509
57;510
57;511
97;512
97;513
45;514
45;515
45;516
31;517
31;518
496;518
1540;518
35;520
52;522
2120;522
67;523
3078;523
27;524
2092;524
27;525
58;526
59;526
59;527
9;529
99;531
14506;531
99;532
109;532
1591;532
58;533
4040;533
37;534
37;535
37;536
95;537
2007;537
3026;537
4377;537
545;538
1085;538
13318;538
42;539
42;540
1322;540
141;541
544;541
760;541
77;543
19;544
3743;544
19;545
61;546
693;546
12355;546
16;548
16;549
46;550
46;551
18;552
18;553
1838;553
82;554
5533;554
82;555
3533;555
21;556
26;556
26;557
627;557
11477;557
20;558
20;559
24;559
153;559
606;559
1607;559
3548;559
24;560
605;560
25;561
607;561
25;562
17;563
17;564
655;564
33;565
1536;565
2116;565
33;566
3836;566
8;568
8;569
12;571
1320;571
3791;571
3799;571
3809;571
12;572
15;573
15;574
3602;574
12224;574
30;575
3902;575
30;576
2095;576
80;577
571;577
2100;577
80;578
692;579
34;580
34;581
552;581
4045;581
4598;581
10;582
10;583
1531;583
78;584
10113;584
54;586
54;587
3778;587
3930;587
3968;587
66;588
66;589
1546;589
92;590
148;590
787;590
13565;590
70;591
38;592
38;593
4052;593
5645;593
29;594
3884;594
29;595
22;596
